"FWB_id","site_year_code","collection_site_id","waterbody_type","collection_decimal_latitude","collection_decimal_longitude","site_interspe_var_N","site_intraspe_var_N","site_interspe_var_C","site_intraspe_var_C","site_nbspe","site_mean_sample_id","site_min_sample_id","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","distance_to_env_m","match_flag","propintraspecific_N","propintraspecific_C","propintraspecific_Total"
"FWB_0038","FWB_0038_1996","Fishers Ck (trib)","lotic",-17.88333,145.56667,0.330935377721767,NA,0.291691453499901,NA,3,1,1,14,"lotic",-17.88333,145.56667,0.820660500858905,5.91107410091771,5.61927097545758,1672.16056,65.9654024600863,205,18,1587,-6.90775527898214,0,0,2.09087715509317,0,-3.19393933957817,"small",-0.457611447506989,0.904045533740827,"high_prod","Hot and dry","Hot and dry",0,"ok",NA,NA,NA
"FWB_0039","FWB_0039_2008","Fishhole Creek","lotic",-15.4666667,141.785,0.061785830118448,0.0363316411753372,0.089452550451477,0.0120242655194779,10,3.7,1,17,"lotic",-15.4666667,141.785,0.585561969880008,5.46621134677944,3.72250728869084,142.1078661,50.7877831649502,268,15,1206,-6.90775527898214,0,0,0.585567537793238,0,-11.5129254649702,"small",-0.618169538500535,0.314959208517987,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.37028717410126,0.11849273555173,0.242270995615602
"FWB_0040","FWB_0040_2008","Four Hour Lagoon","lentic",-16.6655,143.3918,0.0719302441984159,0.0200337681568544,0.0699997206871623,0.0203468827574521,8,2,1,18,"lentic",-16.6655,143.3918,-2.12026353620009,0.0612530311370771,1.63984249243876,11.5280946,39.82739612464,254,23,1023,-6.90775527898214,0,0,-0.146170936170987,0,-4.96041757793564,"small",-0.946562784624735,0.743488059697533,"low_prod","Extremely hot and moist","Hot and moist",0,"ok",0.217843563408924,0.225209160961158,0.221493689421963
"FWB_0041","FWB_0041_2009","FTM","lentic",-19.33341,140.86067,0.0222470499420419,0.0386170962009562,0.0415605931490744,0.0293346193379463,13,5,1,17,"lentic",-19.33341,140.86067,0.182321556793955,-2.14929514299649,1.84639567890951,14.78660249,23.2607421932896,263,26,560,-6.90775527898214,0,0,-0.154305691841,0,-4.50895132824755,"large",-0.0125501372555473,-0.0778094569217774,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.634480209583927,0.413774334103545,0.51572591309974
"FWB_0042","FWB_0042_2009","FWB","lentic",-18.1622667,140.8578833,0.0172820883790232,0.0152188603752462,0.0531698717047901,0.0277456992416831,15,3.73333333333333,1,17,"lotic",-18.1622667,140.8578833,5.29042631392527,4.98089569812555,1.28583985020518,4.888879238,15.1701646379872,269,35,742,-6.90775527898214,0,0,9.87206277646275,3,-5.51896403766366,"large",2.59496852033028,-0.327694754708156,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.468258957309578,0.3428969099166,0.378821001828431
"FWB_0043","FWB_0043_2009","FWL","lentic",-18.99092,140.60063,0.00800818621802384,0.0145145203395849,0.0373806863768755,0.0161988221144288,18,5.38888888888889,1,17,"lentic",-18.99092,140.60063,-1.89711998488588,1.09074159191535,1.84639567890951,14.78660249,27.0288157242747,262,65,561,-6.21460809842219,0,0,1.11711014355023,0,-3.81625838344377,"small",-0.856047606818498,1.12597979104675,"low_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.644439437261217,0.302332413464707,0.403580138032426
"FWB_0044","FWB_0044_2011","Gidi Gidi","lentic",-28.403415,150.047162,0.0253970147348179,0.0169350433772061,0.0395814378415064,0.0114049340115448,7,13.7142857142857,2,14,"lentic",-28.403415,150.047162,-0.82098055206983,2.72373368802278,5.50362608898816,633.6756748,22.3687314640232,197,50,686,-5.52146091786225,0,0,5.81410668079436,0,-2.07139401010054,"small",-0.419526132046015,1.73269461811342,"high_prod","Hot and dry","Hot and dry",0,"ok",0.400052445652197,0.223685930122959,0.303691107955388
"FWB_0045","FWB_0045_2008","Hodgkinson River","lotic",-16.7166667,144.8166667,0.0519395723448953,0.041984757053933,0.0334789020408118,0.0434347762031268,5,2.8,2,18,"lotic",-16.7166667,144.8166667,2.36480843617418,5.60883336188993,4.24836319090242,265.4608058,25.8442517396573,242,0,1352,-6.90775527898214,2,0,5.58184460712735,0,-4.96041757793564,"large",0.596948288249508,0.503818981550827,"low_prod","Extremely hot and moist","Hot and moist",0,"ok",0.447006194482947,0.564721089860889,0.500003099050871
"FWB_0046","FWB_0046_2002","Hooley_Ck","lotic",-21.884789,117.999111,0.0436043974204905,0.0294086207105548,0.00884018850720994,0.0346753766783307,6,6.66666666666667,4,16,"lotic",-21.884789,117.999111,1.45044218094364,5.09389118426202,4.21660742165222,91.82280918,411.507286310369,263,75,365,-5.80914299031403,0,0,3.34300349072432,0,-2.60355505977276,"large",-0.0275086141286289,-0.178066369153957,"low_prod","Extremely hot and arid","Hot and dry",0,"ok",0.402785988900932,0.796849966913739,0.549942302265715
"FWB_0047","FWB_0047_2013","Jabiluka Billabong","lotic",-12.461872,132.874506,0.044842046893512,0.0150468502042527,0.0408422350609802,0.0218348005856459,22,4.63636363636364,1,17,"lotic",-12.461872,132.874506,2.84775417078249,5.68780355851173,5.51168429525293,530.9194255,37.9710477925421,279,35,1467,-6.90775527898214,0,0,5.77428135376639,0,-3.81625838344377,"large",0.926771043327237,0.608391150151842,"high_prod","Extremely hot and xeric","Hot and dry",0,"ok",0.251246072868727,0.348370026763084,0.300912741118812
