"","fish_species","sp_site_var_C_mean","sp_site_var_N_mean","sp_site_var_C_sd","sp_site_var_N_sd"
"187","Ctenopoma gabonense",0.00409613715277778,0.0108333333333333,NA,NA
"188","Ctenopoma ocellatum",0.00627795884724088,0.0170169602886003,0.00881341561969243,0.0151568363008515
"189","Culaea inconstans",0.0244711863002657,0.0254903026746551,0.0112092957951511,0.0193971660067231
"190","Curimatella lepidura",0.00802680150331728,0.0136235928543311,0.00946050726015958,0.0107563139403297
"191","Cynopotamus argenteus",0.00967928975371666,0.00256257107354967,0.0121290888832783,0.00111953161958095
"192","Cynopotamus essequibensis",0.000804877500967731,0.000940650751185379,NA,NA
"193","Cyphocharax platanus",0.00519363437338405,0.0389562434070291,0.00556579577157003,0.0417344223463893
"194","Cyphocharax spilotus",0.0401996701592058,0.146144482893289,0.0538163495996673,0.152769973256311
"195","Cyphomyrus cubangoensis",0.00429548313988668,0.00549056289827568,0.00613282478764333,0.00491124721337993
"196","Cyphomyrus discorhynchus",0.0958654046283815,0.0632770387244598,NA,NA
"197","Cyphomyrus psittacus",0.00949778762337374,0.0435231273664335,0.00284862560512619,0.0582456233021637
"198","Cyprinella lutrensis",0.012533612322849,0.0109053325981833,0.0103421927270847,0.0162680049251719
"199","Cyprinella monacha",0.00483486272868629,0.0157139386366792,NA,NA
"200","Cyprinella spiloptera",0.0263528224636665,0.0759997790468909,0.0111052774471586,0.0687145223149757
"201","Cyprinus carpio",0.0337376386929476,0.0359744154334534,0.0621094417776709,0.0633004937340877
"202","Dajaus monticola",0.0149642196981267,0.0384078695138953,0.0184514596147692,0.0492817293763806
"203","Denariusa australis",0.0189690775495442,0.0154865544492546,0.0211722510692145,0.0161973936476194
"204","Diapterus auratus",0.0204267885059368,0.0340648555411524,NA,NA
"205","Diapterus rhombeus",0.000243820170521061,0.0101951940570197,0.000154080784670611,0.0141485270174059
"206","Dicentrarchus labrax",0.0299696513751305,0.0204098840410208,NA,NA
"207","Distichodus affinis",0.030616945014347,0.00596060786506326,0.04267256421468,8.85193191598472e-05
"208","Distichodus fasciolatus",0.00512023642939744,0.0359050958095241,0.00162859247824233,0.048740479739845
"209","Distichodus lusosso",0.0105014019303097,0.00258101805109131,0.0137355142206782,0.00223894038973198
"210","Distichodus noboli",0.0145218460648148,0.0142592592592593,NA,NA
"211","Distichodus notospilus",0.0191013559381532,0.0278625509661825,0.00203455380248874,0.00388506669671127
"212","Distichodus sexfasciatus",0.0108611910777795,0.0335678347386983,0.0151345632470267,0.023617172829552
"213","Distichodus teugelsi",0.040707828375297,0.0286700076524508,0.0201155081921785,0.00456818252006534
"214","Dormitator maculatus",0.0324295839117258,0.00156449622981109,0.0293842401341529,0.00179446471420219
"215","Dorosoma anale",0.0411589297874833,0.0375080180249231,0.0560800706206314,0.0355353758990278
"216","Dorosoma cepedianum",0.00539389176885048,0.000812002843368204,NA,NA
"217","Dorosoma petenense",0.0481091343132065,0.0323582587347666,0.0530486256196319,0.0334689301208668
"218","Eigenmannia microstomus",0.0195740069683347,0.0111554398013999,0.0205772615976359,0.0152607134140823
"219","Eigenmannia virescens",0.039493834196014,0.00944309857384441,0.0279303295012921,0.00944031526697397
"220","Elachocharax pulcher",0.000165289256198345,0.00208116545265347,NA,NA
"221","Eleotris perniger",0.00607599498310442,0.00076814627915361,0.00858789608037775,0.000467378537640141
"222","Elops hawaiensis",0.0278077407757176,0.00391409142181343,NA,NA
"223","Engraulicypris brevianalis",0.00742682197460701,0.000148202246202292,NA,NA
"224","Enteromius afrohamiltoni",0.0478795655538741,0.00586576708023357,0.0203378320609611,0.00557190718448692
"225","Enteromius afrovernayi",0.00257200351845435,0.0035116070193192,0.00159099183003624,0.00295346887348889
"226","Enteromius anoplus",0.145604933752575,0.132989707542781,0.125076326608907,0.128046521634118
"227","Enteromius barnardi",0.004097192312582,0.00613321695800384,0.00330588621709469,0.0038464231078479
"228","Enteromius barotseensis",0.00362779187488076,0.00673339643050297,NA,NA
"229","Enteromius bifrenatus",0.0323406680418968,0.0437255070304683,0.0249612708906047,0.0559906872555976
"230","Enteromius brazzai",0.0109404621043707,0.0186103407166906,0.0113617563925815,0.0121680732138689
"231","Enteromius eutaenia",0.019689211728533,0.0146903455415326,0.0207519307797208,0.0006174077859126
"232","Enteromius fasciolatus",0.0219251706318094,0.0102211768455024,0.0195480855160962,0.0125102472257171
"233","Enteromius haasianus",0.00203111644710438,0.00225126966334349,NA,NA
"234","Enteromius kerstenii",0.0454566637726768,0.00725310342291441,0.0270259544601757,0.00764315513790225
"235","Enteromius lineomaculatus",0.0593982302255949,0.0762976959552931,0.0587079047349187,0.097083129205883
"236","Enteromius miolepis",0.00167229250946945,0.0302368753248682,NA,NA
"237","Enteromius motebensis",0.0442640545304974,0.0517816424643057,0.0134831852046603,0.0417250983507996
"238","Enteromius pallidus",0.230427169056122,0.0267518096594281,NA,NA
"239","Enteromius paludinosus",0.0559331737496318,0.0522604269248838,0.0339675071557832,0.0304117907357988
"240","Enteromius poechii",0.0178080547254058,0.0312127541097609,0.0106229129317889,0.0319027764320751
"241","Enteromius radiatus",0.0203045868455647,0.0157342576712151,0.0164285338469683,0.0102611342281919
"242","Enteromius stanleyi",5.1534437888119e-05,0.00545778569837382,NA,NA
"243","Enteromius thamalakanensis",0.00784655147030631,2.4311705235163e-06,NA,NA
"244","Enteromius treurensis",0.0948298669748576,0.0247347167014722,0.0897086219584989,0.0326115012934067
"245","Enteromius trimaculatus",0.0288255426952983,0.0439650047001182,0.0242811208494101,0.0517743083098742
"246","Enteromius unitaeniatus",0.012247302777612,0.0100775996851216,0.0105832250474228,0.0110978666966155
"247","Epiplatys ansorgii",0.0110105376344483,0.00653594711332634,0.00996748619105382,0.00871593843786681
"248","Epiplatys singa",0.0175710563550148,0.00819355455409013,0.0176376192568598,0.00878568084607977
"249","Erythrinus erythrinus",0.0037807183364839,0.000799999999999995,NA,NA
"250","Esox lucius",0.0177638867281705,0.0201504153154568,0.0172604831791482,0.0190726541877571
"251","Etheostoma exile",0.00741338699286559,0.0130553499318419,0.00893902830318571,0.0133201332248812
"252","Etheostoma nigrum",0.064337604426594,0.0272616042744254,0.0863544834956029,0.0681594945996451
"253","Eucinostomus melanopterus",0.000260384478825316,0.000231885505496601,NA,NA
"254","Eugerres mexicanus",0.00605564269207435,0.0062972606671134,0.00962945784554079,0.00768966711540624
"255","Eugnathichthys macroterolepis",0.00337400470621821,0.0554812380706267,0.00407006839243875,0.0335232506533502
"256","Eugnathichthys virgatus",0.000488281250000002,0.00222222222222223,NA,NA
"257","Farlowella reticulata",0.0193936131868103,0.00870587547329795,NA,NA
"258","Fundulus diaphanus",0.0118154578479367,0.00527552449872632,0.00820950769818462,0.00717247536594559
"259","Fundulus heteroclitus",0.0195855983353005,0.0114411989056235,NA,NA
"260","Fundulus zebrinus",0.00161935869356903,5.38040891775244e-06,NA,NA
"261","Galaxias argenteus",0.00897137998193204,0.0459174032195258,0.0121283646383172,0.0377244145902617
"262","Galaxias brevipinnis",0.113917207855272,0.115450304399552,0.217592659444932,0.216713166905044
"263","Galaxias fasciatus",0.0860439175530328,0.104440663127857,0.0519176691092023,0.0641405673445967
"264","Galaxias maculatus",0.0313663583169962,0.0330675372507176,0.0264327648645021,0.0376134309202063
"265","Galaxias paucispondylus",0.141019848015065,0.118852761629015,0.0883378972779882,0.103217254054649
"266","Galaxias platei",0.0543364099271755,0.0694061364104222,0.0260857690310988,0.056094379393418
"267","Galaxias postvectis",0.00648905642635727,0.0499813649449587,0.00512665227587142,0.0107757959226138
"268","Galaxias vulgaris",0.0897011112639048,0.0909512670145055,0.102570129570967,0.0917722660968342
"269","Galeocharax humeralis",0.00942204846595275,0.00547163936225736,0.00881747676163936,0.00293116799630457
"270","Gambusia affinis",0.030342473434704,0.0324917740826508,0.0289244003351594,0.0477047041529191
"271","Gambusia echeagarayi",0.00425053495408881,0.0189092809761185,NA,NA
"272","Gambusia holbrooki",0.0357946969799247,0.0302569934324463,0.0384161363513494,0.0406212622123346
"273","Gambusia sexradiata",0.0138813238681979,0.0159357410954062,0.0172172145455486,0.0251313500441142
"274","Gambusia yucatana",0.0123165735025343,0.00153355229408578,0.0176407511760392,0.00075392950085914
"275","Garra fuliginosa",0.0420835159617211,0.0150393416091321,NA,NA
"276","Gasteropelecus sternicla",0.00269717853205776,0.0010156279695335,NA,NA
"277","Gasterosteus aculeatus",0.027098068829419,0.0241500781785085,0.0324552572529748,0.0379748020500468
"278","Geotria australis",0.0118406342718985,0.0108241367072223,0.0121997721998767,0.00569634138015091
"279","Gerres filamentosus",0.00814651690591032,0.0147283682852558,0.00875009073418504,0.00928526139530988
"280","Gila nigra",0.00985672736647012,0.00719360562152038,0.00490354731773878,0.00453663601887359
"281","Gila robusta",0.052419682774923,0.0525054004517149,0.0273691247519192,0.040298073310314
"282","Glossamia aprion",0.0218428889492691,0.0193090000290412,0.0382066408360702,0.0353753273244748
"283","Glossogobius callidus",0.0183908955055737,0.00319640547143055,0.0295447621288591,0.00159416273097954
"284","Glossogobius giuris",0.0378278919201616,0.0192578219987965,0.0649859601510725,0.0174258229479343
"285","Glyptothorax laosensis",0.0124121426464096,0.00843577597919379,0.0106992327233851,0.00830924820745907
"286","Glyptothorax major",0.0163791409760963,0.0241912907339481,0.0192292862980899,0.0150116455721284
"287","Gnathonemus petersii",0.0205076279643802,0.0206439619274241,0.0269310856468733,0.0221239031270116
"288","Gobio gobio",0.0205517339865323,0.012737373318647,0.0259258604965795,0.0187259534494623
"289","Gobio lozanoi",0.183539832732182,0.115205583654683,0.220320639394601,0.0465957417837328
"290","Gobiomorphus australis",0.00529626228824119,0.00666130915247983,0.00668315650380746,0.00836585307494226
"291","Gobiomorphus breviceps",0.0728371077121074,0.0649020992244139,0.08496216485217,0.084730863400613
"292","Gobiomorphus cotidianus",0.0390566357074106,0.0288241904840684,0.0568011016627106,0.0334011162119025
"293","Gobiomorphus hubbsi",0.00583107300462357,0.0228954734355074,0.0020087822471058,0.0280406245136892
"294","Gobiomorphus huttoni",0.00265806364473737,0.00855415063805232,NA,NA
"295","Gobiomorus dormitor",0.00947284870393363,0.00352437010727498,0.00841701750276516,0.00446567622839695
"296","Gobionellus oceanicus",0.0485525897387435,0.00140470494947373,NA,NA
"297","Guianacara geayi",0.00194955305336782,0.0142900363104789,NA,NA
"298","Guianacara owroewefi",0.00132582591209423,0.00310393716987124,NA,NA
